grid_id,week_num,crime_num,do_num,do_num_1,do_num_2,do_num_3,do_num_4,lat,long,do_spill,do_spill_1,do_spill_2,do_spill_3,do_spill_4
1_2,14,0,0,0,0,0,0,10.075,-61.875,0.013133298083405794,0,0.013144424040938152,0.013232574205171559,0.03915320096934827
1_2,15,0,0,0,0,0,0,10.075,-61.875,0,0.013133298083405794,0,0.013144424040938152,0.013232574205171559
1_2,16,0,0,0,0,0,0,10.075,-61.875,0,0,0.013133298083405794,0,0.013144424040938152
1_2,17,0,0,0,0,0,0,10.075,-61.875,0,0,0,0.013133298083405794,0
1_2,18,0,0,0,0,0,0,10.075,-61.875,0,0,0,0,0.013133298083405794
1_2,19,0,0,0,0,0,0,10.075,-61.875,0,0,0,0,0
1_2,20,0,0,0,0,0,0,10.075,-61.875,0,0,0,0,0
1_2,21,0,0,0,0,0,0,10.075,-61.875,0,0,0,0,0
1_2,22,0,0,0,0,0,0,10.075,-61.875,0,0,0,0,0
1_2,23,0,0,0,0,0,0,10.075,-61.875,0,0,0,0,0
1_2,24,0,0,0,0,0,0,10.075,-61.875,0,0,0,0,0
1_2,25,0,0,0,0,0,0,10.075,-61.875,0,0,0,0,0
1_2,26,0,0,0,0,0,0,10.075,-61.875,0,0,0,0,0
1_2,27,0,0,0,0,0,0,10.075,-61.875,0,0,0,0,0
1_2,28,0,0,0,0,0,0,10.075,-61.875,0,0,0,0,0
1_2,29,0,0,0,0,0,0,10.075,-61.875,0.10070196075011675,0,0,0,0
1_2,30,0,0,0,0,0,0,10.075,-61.875,0.15432885843810462,0.10070196075011675,0,0,0
1_2,31,0,0,0,0,0,0,10.075,-61.875,0.1338479226014831,0.15432885843810462,0.10070196075011675,0,0
1_2,32,0,0,0,0,0,0,10.075,-61.875,0.4363504535541344,0.1338479226014831,0.15432885843810462,0.10070196075011675,0
1_2,33,0,0,0,0,0,0,10.075,-61.875,0.2845151602399208,0.4363504535541344,0.1338479226014831,0.15432885843810462,0.10070196075011675
1_2,34,0,0,0,0,0,0,10.075,-61.875,0.037309361441529604,0.2845151602399208,0.4363504535541344,0.1338479226014831,0.15432885843810462
1_2,35,0,0,0,0,0,0,10.075,-61.875,0.10816738510185273,0.037309361441529604,0.2845151602399208,0.4363504535541344,0.1338479226014831
1_2,36,0,0,0,0,0,0,10.075,-61.875,0.07494285101519417,0.10816738510185273,0.037309361441529604,0.2845151602399208,0.4363504535541344
1_2,37,0,0,0,0,0,0,10.075,-61.875,0.042716243044111195,0.07494285101519417,0.10816738510185273,0.037309361441529604,0.2845151602399208
1_2,38,0,0,0,0,0,0,10.075,-61.875,0.1390966108905058,0.042716243044111195,0.07494285101519417,0.10816738510185273,0.037309361441529604
1_2,39,0,0,0,0,0,0,10.075,-61.875,0.022525541863106735,0.1390966108905058,0.042716243044111195,0.07494285101519417,0.10816738510185273
1_2,40,0,0,0,0,0,0,10.075,-61.875,0,0.022525541863106735,0.1390966108905058,0.042716243044111195,0.07494285101519417
1_2,41,0,0,0,0,0,0,10.075,-61.875,0.05162979457924923,0,0.022525541863106735,0.1390966108905058,0.042716243044111195
1_2,42,0,0,0,0,0,0,10.075,-61.875,0.1273570673380902,0.05162979457924923,0,0.022525541863106735,0.1390966108905058
1_2,43,0,0,0,0,0,0,10.075,-61.875,0,0.1273570673380902,0.05162979457924923,0,0.022525541863106735
1_2,44,0,0,0,0,0,0,10.075,-61.875,0.06220830395975328,0,0.1273570673380902,0.05162979457924923,0
1_2,45,0,0,0,0,0,0,10.075,-61.875,0.012945233764568374,0.06220830395975328,0,0.1273570673380902,0.05162979457924923
1_2,46,0,0,0,0,0,0,10.075,-61.875,0.039613345548146155,0.012945233764568374,0.06220830395975328,0,0.1273570673380902
1_2,47,0,0,0,0,0,0,10.075,-61.875,0.12020488468880748,0.039613345548146155,0.012945233764568374,0.06220830395975328,0
