TTPS Crime Statistics

Year,Month,Division,Offence Code,Offence,Reported,Detected
2025,September,North Eastern,21,Burglaries and Breakings,8,1
2025,September,North Eastern,22,Robberies,13,4
2025,September,North Eastern,30,Fraud Offences,1,1
2025,September,North Eastern,34,General Larceny,10,2
2025,September,North Eastern,34A,Larceny Motor Vehicles,11,0
2025,September,North Eastern,38,Larceny Dwelling House,1,0
2025,September,North Eastern,69,Narcotics,0,0
2025,September,North Eastern,69A,Other,4,1
2025,September,North Eastern,8,Woundings and Shootings,8,5
2025,September,North Eastern,85,Possession of Firearms and Ammunition,12,12
2025,September,Northern,1,Murders,3,0
2025,September,Northern,10,"Rapes, Incest and Sexual Offences",2,2
2025,September,Northern,15,Serious Indecency,0,0
2025,September,Northern,16,Kidnapping,3,1
2025,September,Northern,16R,Kidnapping for Ransom,0,0
2025,September,Northern,21,Burglaries and Breakings,15,2
2025,September,Northern,22,Robberies,44,3
2025,September,Northern,30,Fraud Offences,6,0
2025,September,Northern,34,General Larceny,31,2
2025,September,Northern,34A,Larceny Motor Vehicles,29,1
2025,September,Northern,38,Larceny Dwelling House,4,1
2025,September,Northern,69,Narcotics,2,2
2025,September,Northern,69A,Other,8,1
2025,September,Northern,8,Woundings and Shootings,8,0
2025,September,Northern,85,Possession of Firearms and Ammunition,9,9
2025,September,Port of Spain,1,Murders,1,0
2025,September,Port of Spain,10,"Rapes, Incest and Sexual Offences",0,0
2025,September,Port of Spain,15,Serious Indecency,0,0
2025,September,Port of Spain,16,Kidnapping,0,0
2025,September,Port of Spain,16R,Kidnapping for Ransom,1,1
2025,September,Port of Spain,21,Burglaries and Breakings,4,0
2025,September,Port of Spain,22,Robberies,15,0
2025,September,Port of Spain,30,Fraud Offences,8,0
2025,September,Port of Spain,34,General Larceny,24,1
2025,September,Port of Spain,34A,Larceny Motor Vehicles,3,1
2025,September,Port of Spain,38,Larceny Dwelling House,2,0
2025,September,Port of Spain,69,Narcotics,0,0
2025,September,Port of Spain,69A,Other,5,1
2025,September,Port of Spain,8,Woundings and Shootings,6,4
2025,September,Port of Spain,85,Possession of Firearms and Ammunition,7,7
2025,September,South Western,1,Murders,0,0
2025,September,South Western,10,"Rapes, Incest and Sexual Offences",4,0
2025,September,South Western,15,Serious Indecency,0,0
2025,September,South Western,16,Kidnapping,0,0
2025,September,South Western,16R,Kidnapping for Ransom,0,0
2025,September,South Western,21,Burglaries and Breakings,10,1
2025,September,South Western,22,Robberies,17,13
2025,September,South Western,30,Fraud Offences,0,0
2025,September,South Western,34,General Larceny,3,1
2025,September,South Western,34A,Larceny Motor Vehicles,4,0
2025,September,South Western,38,Larceny Dwelling House,1,0
2025,September,South Western,69,Narcotics,5,5
2025,September,South Western,69A,Other,8,8
2025,September,South Western,8,Woundings and Shootings,4,3
2025,September,South Western,85,Possession of Firearms and Ammunition,18,18
2025,September,Southern,1,Murders,2,0
2025,September,Southern,10,"Rapes, Incest and Sexual Offences",8,0
2025,September,Southern,15,Serious Indecency,0,0
2025,September,Southern,16,Kidnapping,3,3
2025,September,Southern,16R,Kidnapping for Ransom,0,0
2025,September,Southern,21,Burglaries and Breakings,9,4
2025,September,Southern,22,Robberies,9,7
2025,September,Southern,30,Fraud Offences,10,1
2025,September,Southern,34,General Larceny,8,3
2025,September,Southern,34A,Larceny Motor Vehicles,8,2
2025,September,Southern,38,Larceny Dwelling House,0,0
2025,September,Southern,69,Narcotics,10,10
2025,September,Southern,69A,Other,5,3
2025,September,Southern,8,Woundings and Shootings,5,2
2025,September,Southern,85,Possession of Firearms and Ammunition,8,8
2025,September,Tobago,1,Murders,1,1
2025,September,Tobago,10,"Rapes, Incest and Sexual Offences",11,6
2025,September,Tobago,15,Serious Indecency,0,0
2025,September,Tobago,16,Kidnapping,0,0
2025,September,Tobago,16R,Kidnapping for Ransom,0,0
2025,September,Tobago,21,Burglaries and Breakings,12,2
2025,September,Tobago,22,Robberies,5,0
2025,September,Tobago,30,Fraud Offences,1,0
2025,September,Tobago,34,General Larceny,8,2
2025,September,Tobago,34A,Larceny Motor Vehicles,0,0
2025,September,Tobago,38,Larceny Dwelling House,0,0
2025,September,Tobago,69,Narcotics,3,3
2025,September,Tobago,69A,Other,5,2
2025,September,Tobago,8,Woundings and Shootings,2,0
2025,September,Tobago,85,Possession of Firearms and Ammunition,6,6
2025,September,Western,1,Murders,1,0
2025,September,Western,10,"Rapes, Incest and Sexual Offences",0,0
2025,September,Western,15,Serious Indecency,0,0
2025,September,Western,16,Kidnapping,1,1
2025,September,Western,16R,Kidnapping for Ransom,0,0
2025,September,Western,21,Burglaries and Breakings,9,3
2025,September,Western,22,Robberies,16,1
2025,September,Western,30,Fraud Offences,0,0
2025,September,Western,34,General Larceny,16,1
2025,September,Western,34A,Larceny Motor Vehicles,11,1
2025,September,Western,38,Larceny Dwelling House,2,0
2025,September,Western,69,Narcotics,0,0
2025,September,Western,69A,Other,1,0
2025,September,Western,8,Woundings and Shootings,0,0
2025,September,Western,85,Possession of Firearms and Ammunition,0,0
2025,October,Central,1,Murders,7,4
2025,October,Central,10,"Rapes, Incest and Sexual Offences",12,1
2025,October,Central,15,Serious Indecency,0,0
2025,October,Central,16,Kidnapping,2,1
2025,October,Central,16R,Kidnapping for Ransom,0,0
2025,October,Central,21,Burglaries and Breakings,18,4
2025,October,Central,22,Robberies,27,9
2025,October,Central,30,Fraud Offences,13,4
2025,October,Central,34,General Larceny,21,4
2025,October,Central,34A,Larceny Motor Vehicles,15,3
2025,October,Central,38,Larceny Dwelling House,1,0
2025,October,Central,69,Narcotics,12,12
2025,October,Central,69A,Other,5,3
2025,October,Central,8,Woundings and Shootings,17,13
2025,October,Central,85,Possession of Firearms and Ammunition,44,44
2025,October,Eastern,1,Murders,3,0
2025,October,Eastern,10,"Rapes, Incest and Sexual Offences",3,0
2025,October,Eastern,15,Serious Indecency,0,0
2025,October,Eastern,16,Kidnapping,0,0
2025,October,Eastern,16R,Kidnapping for Ransom,0,0
2025,October,Eastern,21,Burglaries and Breakings,4,1
2025,October,Eastern,22,Robberies,11,6
2025,October,Eastern,30,Fraud Offences,1,0
2025,October,Eastern,34,General Larceny,3,3
2025,October,Eastern,34A,Larceny Motor Vehicles,1,0
2025,October,Eastern,38,Larceny Dwelling House,0,0
2025,October,Eastern,69,Narcotics,2,2
2025,October,Eastern,69A,Other,1,0
2025,October,Eastern,8,Woundings and Shootings,1,0
2025,October,Eastern,85,Possession of Firearms and Ammunition,11,11
2025,October,North Eastern,1,Murders,9,3
2025,October,North Eastern,10,"Rapes, Incest and Sexual Offences",2,0
2025,October,North Eastern,15,Serious Indecency,0,0
2025,October,North Eastern,16,Kidnapping,0,0
2025,October,North Eastern,16R,Kidnapping for Ransom,0,0
2025,October,North Eastern,21,Burglaries and Breakings,5,0
2025,October,North Eastern,22,Robberies,13,1
2025,October,North Eastern,30,Fraud Offences,2,0
2025,October,North Eastern,34,General Larceny,8,0
2025,October,North Eastern,34A,Larceny Motor Vehicles,13,0
2025,October,North Eastern,38,Larceny Dwelling House,1,0
2025,October,North Eastern,69,Narcotics,3,3
2025,October,North Eastern,69A,Other,5,2
2025,October,North Eastern,8,Woundings and Shootings,4,4
2025,October,North Eastern,85,Possession of Firearms and Ammunition,16,16
2025,October,Northern,1,Murders,10,1
2025,October,Northern,10,"Rapes, Incest and Sexual Offences",0,0
2025,October,Northern,15,Serious Indecency,0,0
2025,October,Northern,16,Kidnapping,0,0
2025,October,Northern,16R,Kidnapping for Ransom,0,0
2025,October,Northern,21,Burglaries and Breakings,22,0
2025,October,Northern,22,Robberies,46,8
2025,October,Northern,30,Fraud Offences,14,4
2025,October,Northern,34,General Larceny,37,5
2025,October,Northern,34A,Larceny Motor Vehicles,29,0
2025,October,Northern,38,Larceny Dwelling House,0,0
2025,October,Northern,69,Narcotics,7,7
2025,October,Northern,69A,Other,13,1
2025,October,Northern,8,Woundings and Shootings,10,3
2025,October,Northern,85,Possession of Firearms and Ammunition,17,17
2025,October,Port of Spain,1,Murders,3,1
2025,October,Port of Spain,10,"Rapes, Incest and Sexual Offences",2,1
2025,October,Port of Spain,15,Serious Indecency,0,0
2025,October,Port of Spain,16,Kidnapping,1,1
2025,October,Port of Spain,16R,Kidnapping for Ransom,0,0
2025,October,Port of Spain,21,Burglaries and Breakings,13,1
2025,October,Port of Spain,22,Robberies,25,2
2025,October,Port of Spain,30,Fraud Offences,4,0
2025,October,Port of Spain,34,General Larceny,37,2
2025,October,Port of Spain,34A,Larceny Motor Vehicles,4,0
2025,October,Port of Spain,38,Larceny Dwelling House,0,0
2025,October,Port of Spain,69,Narcotics,1,1
2025,October,Port of Spain,69A,Other,6,2
2025,October,Port of Spain,8,Woundings and Shootings,2,0
2025,October,Port of Spain,85,Possession of Firearms and Ammunition,0,0
2025,October,South Western,1,Murders,1,0
2025,October,South Western,10,"Rapes, Incest and Sexual Offences",6,0
2025,October,South Western,15,Serious Indecency,0,0
2025,October,South Western,16,Kidnapping,1,1
2025,October,South Western,16R,Kidnapping for Ransom,0,0
2025,October,South Western,21,Burglaries and Breakings,14,7
2025,October,South Western,22,Robberies,11,1
2025,October,South Western,30,Fraud Offences,0,0
2025,October,South Western,34,General Larceny,1,0
2025,October,South Western,34A,Larceny Motor Vehicles,2,0
2025,October,South Western,38,Larceny Dwelling House,0,0
2025,October,South Western,69,Narcotics,4,4
2025,October,South Western,69A,Other,2,1
2025,October,South Western,8,Woundings and Shootings,0,0
2025,October,South Western,85,Possession of Firearms and Ammunition,4,4
2025,October,Southern,1,Murders,4,1
2025,October,Southern,10,"Rapes, Incest and Sexual Offences",4,0
2025,October,Southern,15,Serious Indecency,0,0
2025,October,Southern,16,Kidnapping,2,1
2025,October,Southern,16R,Kidnapping for Ransom,0,0
2025,October,Southern,21,Burglaries and Breakings,6,3
2025,October,Southern,22,Robberies,22,7
2025,October,Southern,30,Fraud Offences,2,1
2025,October,Southern,34,General Larceny,7,6
2025,October,Southern,34A,Larceny Motor Vehicles,9,2
2025,October,Southern,38,Larceny Dwelling House,0,0
2025,October,Southern,69,Narcotics,8,8
2025,October,Southern,69A,Other,7,3
2025,October,Southern,8,Woundings and Shootings,5,1
2025,October,Southern,85,Possession of Firearms and Ammunition,8,8
2025,October,Tobago,1,Murders,1,0
2025,October,Tobago,10,"Rapes, Incest and Sexual Offences",4,0
2025,October,Tobago,15,Serious Indecency,0,0
2025,October,Tobago,16,Kidnapping,0,0
2025,October,Tobago,16R,Kidnapping for Ransom,0,0
2025,October,Tobago,21,Burglaries and Breakings,22,1
2025,October,Tobago,22,Robberies,9,0
2025,October,Tobago,30,Fraud Offences,4,1
2025,October,Tobago,34,General Larceny,16,1
2025,October,Tobago,34A,Larceny Motor Vehicles,0,0
2025,October,Tobago,38,Larceny Dwelling House,0,0
2025,October,Tobago,69,Narcotics,1,1
2025,October,Tobago,69A,Other,7,3
2025,October,Tobago,8,Woundings and Shootings,7,3
2025,October,Tobago,85,Possession of Firearms and Ammunition,2,2
2025,October,Western,1,Murders,1,0
2025,October,Western,10,"Rapes, Incest and Sexual Offences",1,0
2025,October,Western,15,Serious Indecency,0,0
2025,October,Western,16,Kidnapping,0,0
2025,October,Western,16R,Kidnapping for Ransom,0,0
2025,October,Western,21,Burglaries and Breakings,7,1
2025,October,Western,22,Robberies,16,0
2025,October,Western,30,Fraud Offences,3,0
2025,October,Western,34,General Larceny,13,1
2025,October,Western,34A,Larceny Motor Vehicles,6,0
2025,October,Western,38,Larceny Dwelling House,0,0
2025,October,Western,69,Narcotics,0,0
2025,October,Western,69A,Other,0,0
2025,October,Western,8,Woundings and Shootings,1,0
2025,October,Western,85,Possession of Firearms and Ammunition,0,0
2025,November,Central,1,Murders,5,1
2025,November,Central,10,"Rapes, Incest and Sexual Offences",17,0
2025,November,Central,15,Serious Indecency,0,0
2025,November,Central,16,Kidnapping,1,1
2025,November,Central,16R,Kidnapping for Ransom,1,0
2025,November,Central,21,Burglaries and Breakings,13,5
2025,November,Central,22,Robberies,34,9
2025,November,Central,30,Fraud Offences,10,1
2025,November,Central,34,General Larceny,13,2
2025,November,Central,34A,Larceny Motor Vehicles,13,4
2025,November,Central,38,Larceny Dwelling House,1,0
2025,November,Central,69,Narcotics,6,6
2025,November,Central,69A,Other,6,3
2025,November,Central,8,Woundings and Shootings,5,0
2025,November,Central,85,Possession of Firearms and Ammunition,2,2
2025,November,Eastern,1,Murders,2,0
2025,November,Eastern,10,"Rapes, Incest and Sexual Offences",0,0
2025,November,Eastern,15,Serious Indecency,0,0
2025,November,Eastern,16,Kidnapping,0,0
2025,November,Eastern,16R,Kidnapping for Ransom,0,0
2025,November,Eastern,21,Burglaries and Breakings,3,0
2025,November,Eastern,22,Robberies,8,4
2025,November,Eastern,30,Fraud Offences,0,0
2025,November,Eastern,34,General Larceny,0,0
2025,November,Eastern,34A,Larceny Motor Vehicles,2,1
2025,November,Eastern,38,Larceny Dwelling House,0,0
2025,November,Eastern,69,Narcotics,1,1
2025,November,Eastern,69A,Other,4,4
2025,November,Eastern,8,Woundings and Shootings,6,2
2025,November,Eastern,85,Possession of Firearms and Ammunition,15,15
2025,November,North Eastern,1,Murders,3,0
2025,November,North Eastern,10,"Rapes, Incest and Sexual Offences",3,0
2025,November,North Eastern,15,Serious Indecency,0,0
2025,November,North Eastern,16,Kidnapping,1,1
2025,November,North Eastern,16R,Kidnapping for Ransom,0,0
2025,November,North Eastern,21,Burglaries and Breakings,4,0
2025,November,North Eastern,22,Robberies,10,2
2025,November,North Eastern,30,Fraud Offences,2,1
2025,November,North Eastern,34,General Larceny,13,2
2025,November,North Eastern,34A,Larceny Motor Vehicles,9,1
2025,November,North Eastern,38,Larceny Dwelling House,0,0
2025,November,North Eastern,69,Narcotics,1,1
2025,November,North Eastern,69A,Other,3,1
2025,November,North Eastern,8,Woundings and Shootings,1,1
2025,November,North Eastern,85,Possession of Firearms and Ammunition,8,8
2025,November,Northern,1,Murders,4,0
2025,November,Northern,10,"Rapes, Incest and Sexual Offences",1,0
2025,November,Northern,15,Serious Indecency,0,0
2025,November,Northern,16,Kidnapping,2,0
2025,November,Northern,16R,Kidnapping for Ransom,0,0
2025,November,Northern,21,Burglaries and Breakings,22,2
2025,November,Northern,22,Robberies,43,5
2025,November,Northern,30,Fraud Offences,8,3
2025,November,Northern,34,General Larceny,34,1
2025,November,Northern,34A,Larceny Motor Vehicles,12,0
2025,November,Northern,38,Larceny Dwelling House,2,0
2025,November,Northern,69,Narcotics,5,5
2025,November,Northern,69A,Other,12,3
2025,November,Northern,8,Woundings and Shootings,10,2
2025,November,Northern,85,Possession of Firearms and Ammunition,21,21
2025,November,Port of Spain,1,Murders,2,1
2025,November,Port of Spain,10,"Rapes, Incest and Sexual Offences",4,0
2025,November,Port of Spain,15,Serious Indecency,0,0
2025,November,Port of Spain,16,Kidnapping,0,0
2025,November,Port of Spain,16R,Kidnapping for Ransom,0,0
2025,November,Port of Spain,21,Burglaries and Breakings,12,2
2025,November,Port of Spain,22,Robberies,25,2
2025,November,Port of Spain,30,Fraud Offences,9,0
2025,November,Port of Spain,34,General Larceny,20,1
2025,November,Port of Spain,34A,Larceny Motor Vehicles,5,0
2025,November,Port of Spain,38,Larceny Dwelling House,2,0
2025,November,Port of Spain,69,Narcotics,0,0
2025,November,Port of Spain,69A,Other,2,0
2025,November,Port of Spain,8,Woundings and Shootings,1,0
2025,November,Port of Spain,85,Possession of Firearms and Ammunition,0,0
2025,November,South Western,1,Murders,4,0
2025,November,South Western,10,"Rapes, Incest and Sexual Offences",6,0
2025,November,South Western,15,Serious Indecency,0,0
2025,November,South Western,16,Kidnapping,0,0
2025,November,South Western,16R,Kidnapping for Ransom,0,0
2025,November,South Western,21,Burglaries and Breakings,7,2
2025,November,South Western,22,Robberies,6,1
2025,November,South Western,30,Fraud Offences,1,0
2025,November,South Western,34,General Larceny,2,1
2025,November,South Western,34A,Larceny Motor Vehicles,0,0
2025,November,South Western,38,Larceny Dwelling House,0,0
2025,November,South Western,69,Narcotics,3,3
2025,November,South Western,69A,Other,3,1
2025,November,South Western,8,Woundings and Shootings,7,3
2025,November,South Western,85,Possession of Firearms and Ammunition,3,3
2025,November,Southern,1,Murders,2,0
2025,November,Southern,10,"Rapes, Incest and Sexual Offences",11,1
2025,November,Southern,15,Serious Indecency,0,0
2025,November,Southern,16,Kidnapping,0,0
2025,November,Southern,16R,Kidnapping for Ransom,0,0
2025,November,Southern,21,Burglaries and Breakings,12,4
2025,November,Southern,22,Robberies,18,6
2025,November,Southern,30,Fraud Offences,2,0
2025,November,Southern,34,General Larceny,11,2
2025,November,Southern,34A,Larceny Motor Vehicles,10,0
2025,November,Southern,38,Larceny Dwelling House,0,0
2025,November,Southern,69,Narcotics,6,6
2025,November,Southern,69A,Other,1,1
2025,November,Southern,8,Woundings and Shootings,3,0
2025,November,Southern,85,Possession of Firearms and Ammunition,9,9
2025,November,Tobago,1,Murders,2,1
2025,November,Tobago,10,"Rapes, Incest and Sexual Offences",9,1
2025,November,Tobago,15,Serious Indecency,0,0
2025,November,Tobago,16,Kidnapping,2,0
2025,November,Tobago,16R,Kidnapping for Ransom,0,0
2025,November,Tobago,21,Burglaries and Breakings,26,3
2025,November,Tobago,22,Robberies,11,2
2025,November,Tobago,30,Fraud Offences,1,0
2025,November,Tobago,34,General Larceny,5,0
2025,November,Tobago,34A,Larceny Motor Vehicles,0,0
2025,November,Tobago,38,Larceny Dwelling House,0,0
2025,November,Tobago,69,Narcotics,2,2
2025,November,Tobago,69A,Other,11,4
2025,November,Tobago,8,Woundings and Shootings,4,0
2025,November,Tobago,85,Possession of Firearms and Ammunition,3,3
2025,November,Western,1,Murders,1,0
2025,November,Western,10,"Rapes, Incest and Sexual Offences",2,0
2025,November,Western,15,Serious Indecency,0,0
2025,November,Western,16,Kidnapping,0,0
2025,November,Western,16R,Kidnapping for Ransom,0,0
2025,November,Western,21,Burglaries and Breakings,2,1
2025,November,Western,22,Robberies,8,1
2025,November,Western,30,Fraud Offences,2,0
2025,November,Western,34,General Larceny,12,0
2025,November,Western,34A,Larceny Motor Vehicles,7,1
2025,November,Western,38,Larceny Dwelling House,2,0
2025,November,Western,69,Narcotics,1,1
2025,November,Western,69A,Other,1,0
2025,November,Western,8,Woundings and Shootings,3,0
2025,November,Western,85,Possession of Firearms and Ammunition,1,1
2025,December,Central,1,Murders,8,0
2025,December,Central,10,"Rapes, Incest and Sexual Offences",9,1
2025,December,Central,15,Serious Indecency,0,0
2025,December,Central,16,Kidnapping,1,0
2025,December,Central,16R,Kidnapping for Ransom,0,0
2025,December,Central,21,Burglaries and Breakings,25,4
2025,December,Central,22,Robberies,27,2
2025,December,Central,30,Fraud Offences,2,1
2025,December,Central,34,General Larceny,15,1
2025,December,Central,34A,Larceny Motor Vehicles,7,2
2025,December,Central,38,Larceny Dwelling House,3,0
2025,December,Central,69,Narcotics,2,2
2025,December,Central,69A,Other,6,0
2025,December,Central,8,Woundings and Shootings,3,0
2025,December,Central,85,Possession of Firearms and Ammunition,15,15
2025,December,Eastern,1,Murders,1,0
2025,December,Eastern,10,"Rapes, Incest and Sexual Offences",2,0
2025,December,Eastern,15,Serious Indecency,0,0
2025,December,Eastern,16,Kidnapping,0,0
2025,December,Eastern,16R,Kidnapping for Ransom,0,0
2025,December,Eastern,21,Burglaries and Breakings,10,2
2025,December,Eastern,22,Robberies,13,6
2025,December,Eastern,30,Fraud Offences,1,0
2025,December,Eastern,34,General Larceny,4,3
2025,December,Eastern,34A,Larceny Motor Vehicles,0,0
2025,December,Eastern,38,Larceny Dwelling House,2,2
2025,December,Eastern,69,Narcotics,2,2
2025,December,Eastern,69A,Other,3,1
2025,December,Eastern,8,Woundings and Shootings,5,1
2025,December,Eastern,85,Possession of Firearms and Ammunition,8,8
2025,December,North Eastern,1,Murders,4,1
2025,December,North Eastern,10,"Rapes, Incest and Sexual Offences",4,0
2025,December,North Eastern,15,Serious Indecency,0,0
2025,December,North Eastern,16,Kidnapping,1,1
2025,December,North Eastern,16R,Kidnapping for Ransom,0,0
2025,December,North Eastern,21,Burglaries and Breakings,13,7
2025,December,North Eastern,22,Robberies,11,1
2025,December,North Eastern,30,Fraud Offences,4,0
2025,December,North Eastern,34,General Larceny,9,0
2025,December,North Eastern,34A,Larceny Motor Vehicles,16,1
2025,December,North Eastern,38,Larceny Dwelling House,1,0
2025,December,North Eastern,69,Narcotics,0,0
2025,December,North Eastern,69A,Other,1,0
2025,December,North Eastern,8,Woundings and Shootings,6,0
2025,December,North Eastern,85,Possession of Firearms and Ammunition,10,10
2025,December,Northern,1,Murders,6,1
2025,December,Northern,10,"Rapes, Incest and Sexual Offences",1,0
2025,December,Northern,15,Serious Indecency,0,0
2025,December,Northern,16,Kidnapping,0,0
2025,December,Northern,16R,Kidnapping for Ransom,0,0
2025,December,Northern,21,Burglaries and Breakings,24,1
2025,December,Northern,22,Robberies,48,4
2025,December,Northern,30,Fraud Offences,7,1
2025,December,Northern,34,General Larceny,50,3
2025,December,Northern,34A,Larceny Motor Vehicles,29,1
2025,December,Northern,38,Larceny Dwelling House,3,0
2025,December,Northern,69,Narcotics,5,5
2025,December,Northern,69A,Other,7,1
2025,December,Northern,8,Woundings and Shootings,11,0
2025,December,Northern,85,Possession of Firearms and Ammunition,7,7
2025,December,Port of Spain,1,Murders,5,0
2025,December,Port of Spain,10,"Rapes, Incest and Sexual Offences",3,0
2025,December,Port of Spain,15,Serious Indecency,0,0
2025,December,Port of Spain,16,Kidnapping,1,0
2025,December,Port of Spain,16R,Kidnapping for Ransom,0,0
2025,December,Port of Spain,21,Burglaries and Breakings,18,0
2025,December,Port of Spain,22,Robberies,35,1
2025,December,Port of Spain,30,Fraud Offences,10,2
2025,December,Port of Spain,34,General Larceny,29,1
2025,December,Port of Spain,34A,Larceny Motor Vehicles,10,0
2025,December,Port of Spain,38,Larceny Dwelling House,2,0
2025,December,Port of Spain,69,Narcotics,1,1
2025,December,Port of Spain,69A,Other,6,1
2025,December,Port of Spain,8,Woundings and Shootings,2,1
2025,December,Port of Spain,85,Possession of Firearms and Ammunition,6,6
2025,December,South Western,1,Murders,2,0
2025,December,South Western,10,"Rapes, Incest and Sexual Offences",4,1
2025,December,South Western,15,Serious Indecency,0,0
2025,December,South Western,16,Kidnapping,0,0
2025,December,South Western,16R,Kidnapping for Ransom,0,0
2025,December,South Western,21,Burglaries and Breakings,6,0
2025,December,South Western,22,Robberies,11,3
2025,December,South Western,30,Fraud Offences,0,0
2025,December,South Western,34,General Larceny,2,1
2025,December,South Western,34A,Larceny Motor Vehicles,1,0
2025,December,South Western,38,Larceny Dwelling House,1,0
2025,December,South Western,69,Narcotics,3,3
2025,December,South Western,69A,Other,2,1
2025,December,South Western,8,Woundings and Shootings,5,0
2025,December,South Western,85,Possession of Firearms and Ammunition,1,1
2025,December,Southern,1,Murders,6,0
2025,December,Southern,10,"Rapes, Incest and Sexual Offences",6,2
2025,December,Southern,15,Serious Indecency,1,1
2025,December,Southern,16,Kidnapping,1,0
2025,December,Southern,16R,Kidnapping for Ransom,1,0
2025,December,Southern,21,Burglaries and Breakings,12,6
2025,December,Southern,22,Robberies,22,7
2025,December,Southern,30,Fraud Offences,8,1
2025,December,Southern,34,General Larceny,12,8
2025,December,Southern,34A,Larceny Motor Vehicles,17,1
2025,December,Southern,38,Larceny Dwelling House,1,1
2025,December,Southern,69,Narcotics,4,4
2025,December,Southern,69A,Other,5,3
2025,December,Southern,8,Woundings and Shootings,3,0
2025,December,Southern,85,Possession of Firearms and Ammunition,3,3
2025,December,Tobago,1,Murders,1,0
2025,December,Tobago,10,"Rapes, Incest and Sexual Offences",6,0
2025,December,Tobago,15,Serious Indecency,0,0
2025,December,Tobago,16,Kidnapping,1,1
2025,December,Tobago,16R,Kidnapping for Ransom,0,0
2025,December,Tobago,21,Burglaries and Breakings,18,3
2025,December,Tobago,22,Robberies,8,1
2025,December,Tobago,30,Fraud Offences,4,0
2025,December,Tobago,34,General Larceny,9,1
2025,December,Tobago,34A,Larceny Motor Vehicles,0,0
2025,December,Tobago,38,Larceny Dwelling House,1,0
2025,December,Tobago,69,Narcotics,1,1
2025,December,Tobago,69A,Other,2,0
2025,December,Tobago,8,Woundings and Shootings,1,0
2025,December,Tobago,85,Possession of Firearms and Ammunition,0,0
2025,December,Western,1,Murders,1,1
2025,December,Western,10,"Rapes, Incest and Sexual Offences",2,0
2025,December,Western,15,Serious Indecency,0,0
2025,December,Western,16,Kidnapping,0,0
2025,December,Western,16R,Kidnapping for Ransom,1,0
2025,December,Western,21,Burglaries and Breakings,7,0
2025,December,Western,22,Robberies,9,1
2025,December,Western,30,Fraud Offences,5,1
2025,December,Western,34,General Larceny,22,1
2025,December,Western,34A,Larceny Motor Vehicles,8,0
2025,December,Western,38,Larceny Dwelling House,2,0
2025,December,Western,69,Narcotics,2,2
2025,December,Western,69A,Other,3,1
2025,December,Western,8,Woundings and Shootings,3,0
2025,December,Western,85,Possession of Firearms and Ammunition,4,4

"Source: Trinidad and Tobago Police Service, Statistical Reports Collection"
