TTPS Crime Statistics

Year,Month,Division,Offence Code,Offence,Reported,Detected
2025,February,North Eastern,34A,Larceny Motor Vehicles,20,2
2025,February,North Eastern,38,Larceny Dwelling House,0,0
2025,February,North Eastern,69,Narcotics,0,0
2025,February,North Eastern,69A,Other,8,0
2025,February,North Eastern,8,Woundings and Shootings,3,1
2025,February,North Eastern,85,Possession of Firearms and Ammunition,8,8
2025,February,Northern,1,Murders,7,0
2025,February,Northern,10,"Rapes, Incest and Sexual Offences",10,1
2025,February,Northern,15,Serious Indecency,0,0
2025,February,Northern,16,Kidnapping,1,0
2025,February,Northern,16R,Kidnapping for Ransom,0,0
2025,February,Northern,21,Burglaries and Breakings,22,5
2025,February,Northern,22,Robberies,33,4
2025,February,Northern,30,Fraud Offences,18,6
2025,February,Northern,34,General Larceny,58,4
2025,February,Northern,34A,Larceny Motor Vehicles,10,1
2025,February,Northern,38,Larceny Dwelling House,1,0
2025,February,Northern,69,Narcotics,8,8
2025,February,Northern,69A,Other,18,11
2025,February,Northern,8,Woundings and Shootings,6,0
2025,February,Northern,85,Possession of Firearms and Ammunition,17,17
2025,February,Port of Spain,1,Murders,3,1
2025,February,Port of Spain,10,"Rapes, Incest and Sexual Offences",8,0
2025,February,Port of Spain,15,Serious Indecency,0,0
2025,February,Port of Spain,16,Kidnapping,0,0
2025,February,Port of Spain,16R,Kidnapping for Ransom,0,0
2025,February,Port of Spain,21,Burglaries and Breakings,11,1
2025,February,Port of Spain,22,Robberies,27,1
2025,February,Port of Spain,30,Fraud Offences,14,0
2025,February,Port of Spain,34,General Larceny,22,3
2025,February,Port of Spain,34A,Larceny Motor Vehicles,16,0
2025,February,Port of Spain,38,Larceny Dwelling House,0,0
2025,February,Port of Spain,69,Narcotics,2,2
2025,February,Port of Spain,69A,Other,12,7
2025,February,Port of Spain,8,Woundings and Shootings,1,0
2025,February,Port of Spain,85,Possession of Firearms and Ammunition,6,6
2025,February,South Western,1,Murders,3,2
2025,February,South Western,10,"Rapes, Incest and Sexual Offences",14,2
2025,February,South Western,15,Serious Indecency,0,0
2025,February,South Western,16,Kidnapping,1,1
2025,February,South Western,16R,Kidnapping for Ransom,0,0
2025,February,South Western,21,Burglaries and Breakings,18,11
2025,February,South Western,22,Robberies,16,13
2025,February,South Western,30,Fraud Offences,0,0
2025,February,South Western,34,General Larceny,4,0
2025,February,South Western,34A,Larceny Motor Vehicles,0,0
2025,February,South Western,38,Larceny Dwelling House,1,1
2025,February,South Western,69,Narcotics,4,4
2025,February,South Western,69A,Other,4,4
2025,February,South Western,8,Woundings and Shootings,4,4
2025,February,South Western,85,Possession of Firearms and Ammunition,16,16
2025,February,Southern,1,Murders,5,2
2025,February,Southern,10,"Rapes, Incest and Sexual Offences",22,9
2025,February,Southern,15,Serious Indecency,0,0
2025,February,Southern,16,Kidnapping,3,2
2025,February,Southern,16R,Kidnapping for Ransom,0,0
2025,February,Southern,21,Burglaries and Breakings,10,6
2025,February,Southern,22,Robberies,15,6
2025,February,Southern,30,Fraud Offences,5,2
2025,February,Southern,34,General Larceny,16,2
2025,February,Southern,34A,Larceny Motor Vehicles,6,1
2025,February,Southern,38,Larceny Dwelling House,2,2
2025,February,Southern,69,Narcotics,14,14
2025,February,Southern,69A,Other,11,5
2025,February,Southern,8,Woundings and Shootings,5,4
2025,February,Southern,85,Possession of Firearms and Ammunition,20,20
2025,February,Tobago,1,Murders,0,0
2025,February,Tobago,10,"Rapes, Incest and Sexual Offences",20,4
2025,February,Tobago,15,Serious Indecency,0,0
2025,February,Tobago,16,Kidnapping,1,0
2025,February,Tobago,16R,Kidnapping for Ransom,0,0
2025,February,Tobago,21,Burglaries and Breakings,11,4
2025,February,Tobago,22,Robberies,1,0
2025,February,Tobago,30,Fraud Offences,2,0
2025,February,Tobago,34,General Larceny,10,2
2025,February,Tobago,34A,Larceny Motor Vehicles,0,0
2025,February,Tobago,38,Larceny Dwelling House,0,0
2025,February,Tobago,69,Narcotics,4,4
2025,February,Tobago,69A,Other,5,1
2025,February,Tobago,8,Woundings and Shootings,1,1
2025,February,Tobago,85,Possession of Firearms and Ammunition,2,2
2025,February,Western,1,Murders,1,1
2025,February,Western,10,"Rapes, Incest and Sexual Offences",6,2
2025,February,Western,15,Serious Indecency,0,0
2025,February,Western,16,Kidnapping,0,0
2025,February,Western,16R,Kidnapping for Ransom,0,0
2025,February,Western,21,Burglaries and Breakings,5,1
2025,February,Western,22,Robberies,19,6
2025,February,Western,30,Fraud Offences,2,0
2025,February,Western,34,General Larceny,14,1
2025,February,Western,34A,Larceny Motor Vehicles,4,0
2025,February,Western,38,Larceny Dwelling House,1,0
2025,February,Western,69,Narcotics,1,1
2025,February,Western,69A,Other,5,2
2025,February,Western,8,Woundings and Shootings,3,3
2025,February,Western,85,Possession of Firearms and Ammunition,8,8
2025,March,Central,1,Murders,5,1
2025,March,Central,10,"Rapes, Incest and Sexual Offences",7,0
2025,March,Central,15,Serious Indecency,0,0
2025,March,Central,16,Kidnapping,1,1
2025,March,Central,16R,Kidnapping for Ransom,1,0
2025,March,Central,21,Burglaries and Breakings,20,6
2025,March,Central,22,Robberies,20,7
2025,March,Central,30,Fraud Offences,5,2
2025,March,Central,34,General Larceny,22,9
2025,March,Central,34A,Larceny Motor Vehicles,4,1
2025,March,Central,38,Larceny Dwelling House,2,0
2025,March,Central,69,Narcotics,4,4
2025,March,Central,69A,Other,6,1
2025,March,Central,8,Woundings and Shootings,3,2
2025,March,Central,85,Possession of Firearms and Ammunition,13,13
2025,March,Eastern,1,Murders,3,2
2025,March,Eastern,10,"Rapes, Incest and Sexual Offences",10,2
2025,March,Eastern,15,Serious Indecency,0,0
2025,March,Eastern,16,Kidnapping,0,0
2025,March,Eastern,16R,Kidnapping for Ransom,0,0
2025,March,Eastern,21,Burglaries and Breakings,9,7
2025,March,Eastern,22,Robberies,1,0
2025,March,Eastern,30,Fraud Offences,4,2
2025,March,Eastern,34,General Larceny,6,3
2025,March,Eastern,34A,Larceny Motor Vehicles,4,0
2025,March,Eastern,38,Larceny Dwelling House,0,0
2025,March,Eastern,69,Narcotics,2,2
2025,March,Eastern,69A,Other,4,3
2025,March,Eastern,8,Woundings and Shootings,3,1
2025,March,Eastern,85,Possession of Firearms and Ammunition,16,16
2025,March,North Eastern,1,Murders,6,0
2025,March,North Eastern,10,"Rapes, Incest and Sexual Offences",7,0
2025,March,North Eastern,15,Serious Indecency,0,0
2025,March,North Eastern,16,Kidnapping,2,0
2025,March,North Eastern,16R,Kidnapping for Ransom,0,0
2025,March,North Eastern,21,Burglaries and Breakings,7,2
2025,March,North Eastern,22,Robberies,13,1
2025,March,North Eastern,30,Fraud Offences,3,0
2025,March,North Eastern,34,General Larceny,11,1
2025,March,North Eastern,34A,Larceny Motor Vehicles,10,1
2025,March,North Eastern,38,Larceny Dwelling House,1,0
2025,March,North Eastern,69,Narcotics,1,1
2025,March,North Eastern,69A,Other,4,1
2025,March,North Eastern,8,Woundings and Shootings,17,9
2025,March,North Eastern,85,Possession of Firearms and Ammunition,37,37
2025,March,Northern,1,Murders,7,0
2025,March,Northern,10,"Rapes, Incest and Sexual Offences",10,0
2025,March,Northern,15,Serious Indecency,0,0
2025,March,Northern,16,Kidnapping,1,0
2025,March,Northern,16R,Kidnapping for Ransom,0,0
2025,March,Northern,21,Burglaries and Breakings,27,5
2025,March,Northern,22,Robberies,49,13
2025,March,Northern,30,Fraud Offences,11,0
2025,March,Northern,34,General Larceny,51,2
2025,March,Northern,34A,Larceny Motor Vehicles,10,1
2025,March,Northern,38,Larceny Dwelling House,4,1
2025,March,Northern,69,Narcotics,12,12
2025,March,Northern,69A,Other,16,3
2025,March,Northern,8,Woundings and Shootings,20,8
2025,March,Northern,85,Possession of Firearms and Ammunition,28,28
2025,March,Port of Spain,1,Murders,0,0
2025,March,Port of Spain,10,"Rapes, Incest and Sexual Offences",5,1
2025,March,Port of Spain,15,Serious Indecency,0,0
2025,March,Port of Spain,16,Kidnapping,0,0
2025,March,Port of Spain,16R,Kidnapping for Ransom,0,0
2025,March,Port of Spain,21,Burglaries and Breakings,11,2
2025,March,Port of Spain,22,Robberies,22,5
2025,March,Port of Spain,30,Fraud Offences,11,2
2025,March,Port of Spain,34,General Larceny,30,5
2025,March,Port of Spain,34A,Larceny Motor Vehicles,4,0
2025,March,Port of Spain,38,Larceny Dwelling House,0,0
2025,March,Port of Spain,69,Narcotics,1,1
2025,March,Port of Spain,69A,Other,1,1
2025,March,Port of Spain,8,Woundings and Shootings,5,0
2025,March,Port of Spain,85,Possession of Firearms and Ammunition,11,11
2025,March,South Western,1,Murders,4,1
2025,March,South Western,10,"Rapes, Incest and Sexual Offences",9,3
2025,March,South Western,15,Serious Indecency,0,0
2025,March,South Western,16,Kidnapping,1,1
2025,March,South Western,16R,Kidnapping for Ransom,0,0
2025,March,South Western,21,Burglaries and Breakings,5,1
2025,March,South Western,22,Robberies,12,7
2025,March,South Western,30,Fraud Offences,1,0
2025,March,South Western,34,General Larceny,5,1
2025,March,South Western,34A,Larceny Motor Vehicles,0,0
2025,March,South Western,38,Larceny Dwelling House,0,0
2025,March,South Western,69,Narcotics,5,5
2025,March,South Western,69A,Other,2,1
2025,March,South Western,8,Woundings and Shootings,3,0
2025,March,South Western,85,Possession of Firearms and Ammunition,6,6
2025,March,Southern,1,Murders,3,1
2025,March,Southern,10,"Rapes, Incest and Sexual Offences",18,5
2025,March,Southern,15,Serious Indecency,5,5
2025,March,Southern,16,Kidnapping,2,2
2025,March,Southern,16R,Kidnapping for Ransom,0,0
2025,March,Southern,21,Burglaries and Breakings,13,7
2025,March,Southern,22,Robberies,17,6
2025,March,Southern,30,Fraud Offences,11,1
2025,March,Southern,34,General Larceny,8,5
2025,March,Southern,34A,Larceny Motor Vehicles,12,1
