lat,long,grid_id,incr
10.21,-61.309999999999995,30_11,0.02
10.23,-61.309999999999995,30_12,0.02
10.25,-61.309999999999995,30_13,0.02
10.27,-61.309999999999995,30_14,0.02
10.29,-61.309999999999995,30_15,0.02
10.31,-61.309999999999995,30_16,0.02
10.33,-61.309999999999995,30_17,0.02
10.35,-61.309999999999995,30_18,0.02
10.370000000000001,-61.309999999999995,30_19,0.02
10.39,-61.309999999999995,30_20,0.02
10.41,-61.309999999999995,30_21,0.02
10.43,-61.309999999999995,30_22,0.02
10.450000000000001,-61.309999999999995,30_23,0.02
10.469999999999999,-61.309999999999995,30_24,0.02
10.49,-61.309999999999995,30_25,0.02
10.51,-61.309999999999995,30_26,0.02
10.53,-61.309999999999995,30_27,0.02
10.550000000000002,-61.309999999999995,30_28,0.02
10.57,-61.309999999999995,30_29,0.02
10.59,-61.309999999999995,30_30,0.02
10.61,-61.309999999999995,30_31,0.02
10.629999999999999,-61.309999999999995,30_32,0.02
10.649999999999999,-61.309999999999995,30_33,0.02
10.67,-61.309999999999995,30_34,0.02
10.690000000000001,-61.309999999999995,30_35,0.02
10.710000000000003,-61.309999999999995,30_36,0.02
10.73,-61.309999999999995,30_37,0.02
10.750000000000002,-61.309999999999995,30_38,0.02
10.77,-61.309999999999995,30_39,0.02
10.79,-61.309999999999995,30_40,0.02
10.81,-61.309999999999995,30_41,0.02
10.09,-61.29,31_5,0.02
10.109999999999998,-61.29,31_6,0.02
10.129999999999997,-61.290000000000006,31_7,0.02
10.15,-61.29,31_8,0.02
10.17,-61.29,31_9,0.02
10.19,-61.29,31_10,0.02
10.209999999999999,-61.290000000000006,31_11,0.02
10.23,-61.29,31_12,0.02
10.25,-61.29,31_13,0.02
10.27,-61.29,31_14,0.02
10.290000000000001,-61.290000000000006,31_15,0.02
10.309999999999999,-61.29,31_16,0.02
10.33,-61.29,31_17,0.02
10.35,-61.29,31_18,0.02
10.370000000000001,-61.290000000000006,31_19,0.02
10.39,-61.29,31_20,0.02
10.41,-61.29,31_21,0.02
10.429999999999998,-61.29,31_22,0.02
10.45,-61.290000000000006,31_23,0.02
10.47,-61.29,31_24,0.02
10.49,-61.29,31_25,0.02
10.51,-61.29,31_26,0.02
10.53,-61.29,31_27,0.02
10.55,-61.290000000000006,31_28,0.02
10.57,-61.29,31_29,0.02
10.59,-61.29,31_30,0.02
10.61,-61.29,31_31,0.02
10.629999999999999,-61.290000000000006,31_32,0.02
10.65,-61.29,31_33,0.02
10.67,-61.29,31_34,0.02
10.690000000000001,-61.29,31_35,0.02
10.71,-61.290000000000006,31_36,0.02
10.73,-61.29,31_37,0.02
10.749999999999998,-61.29,31_38,0.02
10.770000000000001,-61.29,31_39,0.02
10.79,-61.290000000000006,31_40,0.02
10.09,-61.27000000000002,32_5,0.02
10.110000000000001,-61.27000000000002,32_6,0.02
10.129999999999999,-61.27,32_7,0.02
10.15,-61.27000000000002,32_8,0.02
10.17,-61.27000000000002,32_9,0.02
10.19,-61.27000000000002,32_10,0.02
10.21,-61.27,32_11,0.02
10.23,-61.27000000000002,32_12,0.02
10.25,-61.27000000000002,32_13,0.02
10.27,-61.27000000000002,32_14,0.02
10.29,-61.27,32_15,0.02
10.31,-61.27000000000002,32_16,0.02
10.33,-61.27000000000002,32_17,0.02
10.35,-61.27000000000002,32_18,0.02
10.370000000000001,-61.27,32_19,0.02
10.39,-61.27000000000002,32_20,0.02
10.41,-61.27000000000002,32_21,0.02
10.43,-61.27000000000002,32_22,0.02
10.450000000000001,-61.27,32_23,0.02
10.469999999999999,-61.27000000000002,32_24,0.02
10.49,-61.27000000000002,32_25,0.02
10.51,-61.27000000000002,32_26,0.02
10.53,-61.27000000000002,32_27,0.02
10.550000000000002,-61.27,32_28,0.02
10.57,-61.27000000000002,32_29,0.02
10.59,-61.27000000000002,32_30,0.02
10.61,-61.27000000000002,32_31,0.02
10.629999999999999,-61.27,32_32,0.02
10.649999999999999,-61.27000000000002,32_33,0.02
10.67,-61.27000000000002,32_34,0.02
10.690000000000001,-61.27000000000002,32_35,0.02
10.710000000000003,-61.27,32_36,0.02
10.73,-61.27000000000002,32_37,0.02
10.750000000000002,-61.27000000000002,32_38,0.02
10.77,-61.27000000000002,32_39,0.02
10.79,-61.27,32_40,0.02
10.07,-61.24999999999999,33_4,0.02
10.09,-61.24999999999999,33_5,0.02
10.109999999999998,-61.24999999999999,33_6,0.02
